id,name,externalid,,,,
2917,Lohn ,,,,578,Happerswil
2919,Stetten ,,,,579,Hard bei Weinfelden
292,Stammheim,,,,580,Haslen
2920,Thayngen,,,,581,Hasliberg Wasserwendi
293,Wädenswil,,,,582,Hauptwil
2931,Bargen ,,,,583,Hausen
2932,Beringen,,,,584,Hedingen
2933,Buchberg,,,,585,Heerbrugg
2936,Merishausen,,,,586,Hefenhofen
2937,Neuhausen am Rheinfall,,,,587,Heiden
2938,Rüdlingen,,,,588,Heiligenschwendi
2939,Schaffhausen,,,,589,Heimberg
294,Elgg,,,,590,Heimenschwand
295,Horgen,,,,591,Heitenried
2951,Beggingen,,,,592,Heldswil
2952,Schleitheim,,,,593,Helgisried-Rohrbach
2953,Siblingen,,,,594,Hemishofen
296,Illnau-Effretikon,,,,595,Henau
2961,Buch ,,,,596,Henggart
2962,Hemishofen,,,,597,Herbligen
2963,Ramsen,,,,598,Hergiswil
2964,Stein am Rhein,,,,599,Herisau
297,Bauma,,,,600,Herisau 
2971,Hallau,,,,601,Herrliberg
2972,Oberhallau,,,,602,Herzogenbuchsee
2973,Trasadingen,,,,603,Hessigkofen
2974,Wilchingen,,,,604,Hildisrieden
298,Wiesendangen,,,,605,Hilterfingen
3,Bonstetten,,,,606,Hindelbank
30,Andelfingen,,,,607,Hinterforst
3001,Herisau,,,,608,Hinterfultigen
3002,Hundwil,,,,609,Hinterkappelen
3003,Schönengrund,,,,610,Hinwil
3004,Schwellbrunn,,,,611,Hirschthal
3005,Stein ,,,,612,Hirzel
3006,Urnäsch,,,,613,Hittnau
3007,Waldstatt,,,,614,Hochdorf
301,Aarberg,,,,615,Hoffeld
302,Bargen ,,,,616,Hohenrain
3021,Bühler,,,,617,Hohentannen
3022,Gais,,,,618,Holziken
3023,Speicher,,,,619,Hombrechtikon
3024,Teufen ,,,,620,Homburg
3025,Trogen,,,,621,Hondrich
303,Grossaffoltern,,,,622,Horboden
3031,Grub ,,,,623,Horgen
3032,Heiden,,,,624,Horn
3033,Lutzenberg,,,,625,Horw
3034,Rehetobel,,,,626,Hosenruck
3035,Reute ,,,,627,Hottwil
